n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps;
1100; 3143; 2876; 3281; 4068; 2918; 2527; 5200; 3273; 3482; 4099; 3242; 3740; 4736; 6031; 2828; 3317; 1935; 2513; 2796; 5946; 2900; 4867; 2903; 3810; 3116; 3431; 3366; 4272; 4555; 2139; 4687; 2300; 2859; 2474; 3050; 2542; 2890; 4421; 3377; 3352; 3927; 3200; 5738; 6475; 3776; 4292; 2944; 4622; 2042; 3088; 1853; 1404; 1582; 2294; 1866; 1245; 2032; 2039; 1868; 1833; 1091; 2231; 2634; 3150; 1155; 1608; 1170; 1222; 1611; 2389; 1459; 1730; 1868; 2085; 1069; 1078; 1979; 2310; 2156; 1208; 1313; 1049; 1482; 1050; 1691; 811; 1539; 2229; 1895; 1622; 1627; 2006; 3630; 3916; 1451; 1460; 1396; 1907; 1162; 1652; 
1200; 2617; 1602; 2391; 2687; 2647; 2356; 2131; 1762; 2002; 2511; 3112; 3066; 3177; 2407; 2809; 4953; 3467; 5399; 3446; 4473; 2640; 2628; 2639; 2706; 4833; 4032; 2271; 2526; 3825; 5166; 2029; 2152; 2352; 1746; 1941; 3884; 3842; 1931; 2764; 1594; 1716; 1986; 1837; 2017; 3441; 2779; 2641; 1439; 2190; 4214; 1170; 1184; 1384; 1246; 1215; 1205; 1557; 1190; 1279; 1270; 1465; 1804; 1284; 1261; 1599; 1491; 1992; 3076; 1186; 2005; 1143; 2309; 1705; 1363; 2242; 1249; 1221; 1492; 1382; 3076; 1147; 1272; 1231; 1230; 1266; 1861; 1433; 1229; 1340; 1189; 1262; 1378; 1231; 1550; 1406; 1178; 1269; 1221; 1406; 1593; 
1300; 2866; 4111; 3731; 3926; 2156; 5239; 4647; 3414; 3503; 3478; 4608; 3430; 6037; 5382; 2570; 3538; 5126; 5537; 7427; 4571; 4599; 2983; 7694; 3641; 4512; 3493; 4652; 5579; 2742; 5851; 4270; 3734; 5643; 3214; 3670; 5453; 4467; 3186; 3637; 3095; 3255; 3709; 4202; 5061; 3165; 2757; 3291; 4754; 3357; 3754; 1587; 1546; 2169; 1574; 911; 1627; 2176; 1098; 1993; 2206; 3703; 1385; 3279; 2464; 1151; 1207; 2913; 3138; 3529; 1907; 1333; 1506; 3227; 1517; 1269; 973; 2230; 2887; 1740; 2892; 1844; 1972; 3046; 1635; 1446; 3223; 2239; 2002; 1952; 1787; 2146; 1909; 3343; 1403; 1684; 1064; 2025; 1675; 1771; 2964; 
1400; 2289; 3147; 5182; 2157; 5113; 2404; 3625; 3904; 4533; 5663; 5005; 4331; 3783; 3966; 4095; 2632; 2315; 2022; 3220; 4082; 3849; 2178; 2497; 2690; 3908; 5498; 2611; 2872; 4656; 4855; 2336; 5993; 2809; 2081; 3533; 4196; 5607; 5918; 2305; 3152; 3570; 6792; 2480; 3874; 4204; 3018; 2097; 8250; 5327; 3491; 756; 1573; 2508; 651; 1322; 722; 1824; 2593; 2633; 4005; 2659; 2833; 1855; 1604; 1838; 1219; 747; 502; 1534; 1410; 1388; 623; 762; 1115; 2467; 3522; 1237; 1270; 1978; 2479; 491; 2041; 1292; 718; 1813; 2320; 4210; 3886; 985; 1758; 1694; 4481; 957; 2443; 1335; 1462; 680; 5312; 2832; 2150; 
1500; 3683; 1602; 1785; 2053; 2623; 2854; 4173; 2517; 3100; 3089; 2063; 2700; 4222; 2438; 3639; 4679; 2471; 2571; 3418; 3507; 2543; 3850; 1771; 4656; 1872; 2400; 3005; 4448; 3542; 2793; 1641; 3533; 2351; 2570; 2462; 4046; 3684; 3489; 2676; 2783; 4905; 3272; 2608; 3468; 2008; 3644; 3516; 3289; 2463; 2002; 1501; 1515; 1499; 1511; 1517; 1512; 1514; 1524; 1508; 1587; 1503; 1501; 1512; 1511; 1541; 1516; 1607; 1516; 1588; 1526; 1511; 1558; 1556; 1517; 1511; 1532; 1515; 1508; 1515; 1513; 1500; 1511; 1520; 1503; 1500; 1524; 1511; 1511; 1513; 1505; 1525; 1502; 1520; 1504; 1538; 1525; 1526; 1518; 1510; 1510; 
1600; 6624; 5721; 4611; 3972; 9237; 6684; 3787; 6106; 6398; 4205; 9045; 5309; 4705; 4158; 3643; 2549; 4340; 6583; 4129; 5071; 5505; 6712; 6105; 3590; 4173; 4533; 6837; 5380; 2529; 4865; 6704; 5859; 6634; 5102; 5459; 4139; 5059; 4074; 6257; 7057; 3972; 3759; 4404; 5920; 7327; 2908; 3807; 4532; 4253; 5348; 3294; 2260; 2145; 1500; 3126; 5037; 1783; 3022; 3974; 1720; 4931; 2687; 1965; 2148; 2515; 1222; 1588; 4091; 1747; 2019; 3700; 3727; 3014; 2198; 2780; 2210; 2572; 2490; 1275; 2516; 4504; 3443; 3228; 3001; 2843; 2239; 3071; 2167; 3046; 3427; 2083; 2011; 2844; 2233; 4495; 2212; 1344; 1739; 2787; 2942; 
1700; 3212; 3585; 6252; 5865; 4697; 5597; 8376; 6150; 5100; 5997; 6539; 3612; 5629; 4026; 4507; 3605; 5696; 5262; 3432; 6116; 3455; 7454; 4385; 2294; 3494; 3831; 5186; 4481; 5110; 2444; 6635; 5885; 4415; 6058; 7525; 5293; 4717; 6415; 5586; 4156; 3864; 5304; 5869; 5943; 6625; 7001; 4238; 5566; 5224; 7745; 1438; 2177; 1902; 1803; 2136; 2047; 4648; 3337; 2188; 3643; 4333; 1501; 3402; 744; 2759; 2028; 3155; 2615; 1213; 2655; 1840; 2484; 2823; 829; 1593; 1737; 2272; 1234; 1987; 864; 5251; 2117; 2559; 4525; 5360; 2207; 2787; 3350; 2057; 1981; 1701; 3430; 3054; 3828; 4507; 5513; 1486; 3076; 2418; 5344; 
1800; 5520; 6901; 4193; 12753; 7427; 4060; 5962; 5948; 6291; 7184; 4848; 7146; 5346; 7541; 10637; 4177; 3402; 5728; 8334; 4929; 6525; 9361; 6087; 3924; 3753; 5015; 7211; 3443; 4570; 7653; 4136; 5019; 6266; 10197; 6871; 4682; 8423; 6990; 5196; 8027; 5740; 11221; 7884; 5543; 5612; 5208; 4172; 5758; 5697; 7325; 1520; 4270; 1776; 8115; 2793; 2220; 4003; 1071; 3110; 3019; 2160; 4521; 2233; 3666; 5155; 2548; 2094; 2691; 4148; 1706; 4092; 4128; 3825; 1947; 2156; 2575; 3633; 1164; 2409; 4902; 2409; 2527; 2595; 5578; 3092; 2577; 5269; 3772; 3539; 4154; 2949; 5463; 5418; 2781; 3050; 3422; 1693; 3558; 2437; 3938; 
1900; 3239; 6682; 7696; 3786; 6385; 3640; 6796; 3537; 6915; 7763; 2635; 4622; 9013; 6853; 4951; 7980; 4078; 4539; 4937; 5797; 7613; 6636; 7992; 6032; 7269; 6125; 3206; 8699; 7692; 6720; 4006; 5584; 3553; 5788; 6140; 3629; 5162; 6095; 7093; 4524; 8579; 3858; 3985; 7145; 6694; 9529; 4017; 6756; 5244; 7714; 1230; 1782; 5828; 1534; 2175; 566; 3186; 1210; 2666; 4425; 1009; 2910; 5110; 4132; 2178; 3373; 945; 2697; 3177; 1792; 2936; 2280; 4672; 1641; 3096; 3778; 1338; 5617; 4100; 2113; 2021; 3189; 1723; 2590; 1439; 1321; 3004; 3847; 4146; 1910; 3882; 1360; 877; 3436; 4569; 5129; 2449; 1989; 3407; 3887; 
2000; 2799; 4592; 6921; 4834; 3934; 6536; 5111; 4716; 3509; 5993; 5665; 5135; 2841; 4122; 3536; 3530; 6007; 5295; 4632; 5454; 3360; 5997; 6369; 4543; 4293; 8985; 5612; 4708; 4912; 5135; 3887; 6923; 4797; 9588; 8259; 4054; 4727; 5367; 4737; 5768; 6046; 7537; 6194; 3224; 7156; 3330; 5691; 4945; 2403; 4208; 643; 1884; 3453; 2554; 1972; 4522; 3146; 2624; 1532; 3462; 3289; 923; 845; 486; 1438; 1640; 2129; 2347; 2350; 2794; 936; 3798; 3603; 1837; 2151; 4843; 1377; 2514; 2463; 2783; 1586; 3794; 2666; 6466; 5324; 1877; 2727; 3171; 2598; 2123; 4063; 4204; 1805; 1224; 3524; 937; 3340; 2992; 535; 2147; 
